#separator:tab
#html:true
#columns:普通话	粤语和英语
我最喜欢张也！唱歌水平数一数二！	我(ngo⁵)最(zêu³)中(zung¹)意(yi³)就(zeo⁶)系(hei⁶)张(zêng¹)也(ya⁵)嘅(ge³)啦(la³)！唱(cêng³)歌(go¹)数(sou²)一(yed¹)数(sou²)二(yi⁶)！<br>Zhang Ye is my favourite. She is genuinely one of the best singers around!
爸你懂什么？你唱来唱去不还是她那首《走进新时代》！	老(lou⁵)豆(deo⁶)你(néi⁵)识(xig¹)啲(di¹)咩(mé¹)啊(a³)？你(néi⁵)唱(cêng³)嚟(léi⁴)唱(cêng³)去(hêu³)咪(mei⁶)又(yeo⁶)系(hei⁶)佢(kêu⁵)嗰(go²)只(zég³)《走(zeo²)进(zên³)新(sen¹)时(xi⁴)代(doi⁶)》！<br>Dad, what do you know? You just keep singing the same song of hers, Into a New Era!
难道不行吗？我年纪大，不像你们年轻人接受能力那么强！	系(hei⁶)咪(mei⁶)唔(m⁴)得(deg¹)啊(a³)？我(ngo⁵)年(nin⁴)纪(géi²)大(dai⁶)，唔(m⁴)似(qi⁵)你(néi⁵)哋(déi⁶)啲(di¹)后(heo⁶)生(sang¹)，接(jib³)受(seo⁶)能(neng⁴)力(lig⁶)咁(gem³)强(kêng⁴)！<br>What is wrong with that? I am older and not as quick to embrace new things as you youngsters are!
你说爸爸是不是总不肯承认自己老土？	老(lou⁵)婆(po⁴)，你(néi⁵)话(wa⁶)老(lou⁵)豆(deo⁶)系(hei⁶)咪(mei⁶)成(sêng⁴)日(yed⁶)都(dou¹)唔(m⁴)认(ying⁶)自(ji⁶)己(géi²)老(lou⁵)土(tou²)吖(a¹)？<br>Do you think Dad is always reluctant to admit that he is old-fashioned?
你别这样说爸爸！爸爸，我支持你，我也很怀旧！	老(lou⁵)公(gung¹)你(néi⁵)唔(m⁴)好(hou²)咁(gem²)话(wa⁶)老(lou⁵)爷(yé⁵)啦(la¹)！老(lou⁵)爷(yé⁵)，我(ngo⁵)撑(cang³)你(néi⁵)，我(ngo⁵)都(dou¹)好(hou²)怀(wai⁴)旧(geo⁶)嘎(ga³)！<br>Do not talk about Dad like that. Dad, I am on your side. I am quite nostalgic too!
是吗？还是儿媳妇懂事。你喜欢哪些老艺术家？	系(hei⁶)咩(mé¹)？都(dou¹)系(hei⁶)新(sem¹)抱(pou⁵)乖(guai¹)。你(néi⁵)都(dou¹)中(zung¹)意(yi³)边(bin¹)啲(di¹)老(lou⁵)艺(ngei⁶)术(sêd⁶)家(ga¹)啊(a³)？<br>Really? My daughter-in-law is the thoughtful one. Which veteran artists do you like?
张学友、张国荣，这些算吗？	呃(e⁶)……张(zêng¹)学(hog⁶)友(yeo⁵)啊(a³)，张(zêng¹)国(guog³)荣(wing⁴)啊(a³)，嗰(go²)啲(di¹)算(xün³)唔(m⁴)算(xün³)啊(a³)？<br>Well, Jacky Cheung and Leslie Cheung. Would they count?
那些对你来说是老艺术家，但对我来说仍属于年轻一辈！	嗰(go²)啲(di¹)对(dêu³)你(néi⁵)嚟(léi⁴)讲(gong²)系(hei⁶)老(lou⁵)艺(ngei⁶)术(sêd⁶)家(ga¹)，但(dan⁶)对(dêu³)我(ngo⁵)嚟(léi⁴)讲(gong²)都(dou¹)系(hei⁶)属(sug⁶)于(yü¹)年(nin⁴)轻(hing¹)一(yed¹)辈(bui³)咯(lo¹)！<br>They may seem like veteran artists to you, but to me they still belong to the younger generation!
我们在这里坐直通车！	我(ngo⁵)哋(déi⁶)喺(hei²)呢(néi¹)度(dou⁶)搭(dab³)直(jig⁶)通(tung¹)车(cé¹)！<br>We can catch the direct coach here!
我也只能听懂一点点！	我(ngo⁵)都(dou¹)系(hei⁶)听(téng¹)得(deg¹)明(ming⁴)少(xiu²)少(xiu²)咋(za³)！<br>I can only understand a little bit as well!
不用两个小时就到了！	唔(m⁴)使(sei²)两(lêng⁵)个(go³)钟(zung¹)就(zeo⁶)到(dou³)嘎(ga³)喇(la³)！<br>We will be there in less than two hours!
今天打算带我去哪里玩？	今(gem¹)日(yed⁶)打(da²)算(xün³)带(dai³)我(ngo⁵)去(hêu³)边(bin¹)度(dou⁶)玩(wan²)啊(a³)？<br>Where are you planning to take me today?
我们现在可以穿潜水服了！	我(ngo⁵)哋(déi⁶)宜(yi⁴)家(ga¹)可(ho²)以(yi⁵)着(zêg³)潜(qim⁴)水(sêu²)衣(yi¹)啦(la³)！<br>We can put on our wetsuits now!
那你当我的导游就再合适不过了！	咁(gem²)你(néi⁵)做(zou⁶)我(ngo⁵)导(dou⁶)游(yeo⁴)就(zeo⁶)真(zen¹)系(hei⁶)啱(ngam¹)晒(sai³)啦(la³)！<br>In that case, you are the perfect person to be my guide!
等会儿我们去咨询一下好吗？	阵(zen⁶)间(gan¹)我(ngo⁵)哋(déi⁶)去(hêu³)咨(ji¹)询(sên¹)吓(ha⁶)好(hou²)唔(m⁴)好(hou²)啊(a³)？<br>Shall we ask for some information later?
只对有资格证的游客开放！	净(jing⁶)系(hei⁶)对(dêu³)有(yeo⁵)资(ji¹)格(gag³)证(jing³)嘅(ge³)游(yeo⁴)客(hag³)开(hoi¹)放(fong³)嘎(ga³)喎(wo³)！<br>It is only open to visitors with the proper certification!
景点和吃东西的地方都集中在市区！	景(ging²)点(dim²)啊(a³)、食(xig⁶)嘢(yé⁵)嘅(ge³)地(déi⁶)方(fong¹)都(dou¹)集(zab⁶)中(zung¹)喺(hei²)市(xi⁵)区(kêu¹)！<br>The sights and places to eat are all concentrated in the city centre!
竟然没想起来办签证，真是马大哈！	竟(ging²)然(yin⁴)唔(m⁴)醒(xing²)起(héi²)去(hêu³)办(ban⁶)签(qim¹)证(jing³)，真(zen¹)系(hei⁶)大(dai⁶)懵(mung²)啦(la³)！<br>I completely forgot to sort out the visa. How careless of me!
我们在这里坐直通车，不用两个小时就到珠海了！	嗱(na⁴)，我(ngo⁵)哋(déi⁶)喺(hei²)呢(néi¹)度(dou⁶)搭(dab³)直(jig⁶)通(tung¹)车(cé¹)，唔(m⁴)使(sei²)两(lêng⁵)个(go³)钟(zung¹)就(zeo⁶)到(dou³)珠(jü¹)海(hoi²)嘎(ga³)喇(la³)！<br>Look, we can catch the direct coach here and reach Zhuhai in under two hours!
为什么你好像这么熟悉？	点(dim²)解(gai²)你(néi⁵)好(hou²)似(qi⁵)咁(gem³)熟(sug⁶)嘅(ge²)？<br>How come you know the place so well?
我之前在珠海工作了两年多，当然熟悉！	我(ngo⁵)之(ji¹)前(qin⁴)喺(hei²)珠(jü¹)海(hoi²)做(zou⁶)嘢(yé⁵)做(zou⁶)咗(zo²)两(lêng⁵)年(nin⁴)几(géi²)，梗(geng²)系(hei⁶)熟(sug⁶)啦(la¹)！<br>I worked in Zhuhai for over two years, so of course I know it well!
那你当我的导游正合适！今天打算带我去哪里玩？	咁(gem²)你(néi⁵)做(zou⁶)我(ngo⁵)导(dou⁶)游(yeo⁴)就(zeo⁶)真(zen¹)系(hei⁶)啱(ngam¹)晒(sai³)啦(la³)！今(gem¹)日(yed⁶)打(da²)算(xün³)带(dai³)我(ngo⁵)去(hêu³)边(bin¹)度(dou⁶)玩(wan²)啊(a³)？<br>Then you are the ideal guide for me! Where are you taking me today?
珠海这个地方其实不是很大，	珠(jü¹)海(hoi²)呢(néi¹)个(go³)地(déi⁶)方(fong¹)其(kéi⁴)实(sed⁶)唔(m⁴)系(hei⁶)好(hou²)大(dai⁶)，<br>Zhuhai is not actually a very big place,
而且景点和吃东西的地方都集中在市区！	而(yi⁴)且(cé²)景(ging²)点(dim²)啊(a³)、食(xig⁶)嘢(yé⁵)嘅(ge³)地(déi⁶)方(fong¹)都(dou¹)集(zab⁶)中(zung¹)喺(hei²)市(xi⁵)区(kêu¹)！<br>and the attractions and places to eat are all in the city centre!
是吗？我之前只听说珠海的生蚝很有名！	系(hei⁶)咩(mé¹)？我(ngo⁵)之(ji¹)前(qin⁴)只(zég³)系(hei⁶)听(téng¹)讲(gong²)珠(jü¹)海(hoi²)啲(di¹)生(sang¹)蚝(hou⁴)好(hou²)出(cêd¹)名(méng²)咋(za³)！<br>Really? I had only heard that Zhuhai is famous for its oysters!
珠海依山傍水，生态资源丰富，所以这个水域的生蚝特别肥美。	珠(jü¹)海(hoi²)地(déi⁶)理(léi⁵)位(wei⁶)置(ji³)依(yi¹)山(san¹)傍(bong⁶)水(sêu²)，生(seng¹)态(tai³)资(ji¹)源(yün⁴)好(hou²)丰(fung¹)富(fu³)嘎(ga³)，所(so²)以(yi⁵)呢(néi¹)个(go³)水(sêu²)域(wig⁶)啲(di¹)生(sang¹)蚝(hou⁴)特(deg⁶)别(bid⁶)肥(féi⁴)美(méi⁵)。<br>Zhuhai sits between the mountains and the sea and has rich natural resources, so the oysters here are especially plump and tasty.
之前政府限制发展重工业，所以珠海的空气和环境都比广州好很多！	之(ji¹)前(qin⁴)政(jing³)府(fu²)限(han⁶)制(zei³)发(fad³)展(jin²)重(cung⁴)工(gung¹)业(yib⁶)，所(so²)以(yi⁵)珠(jü¹)海(hoi²)嘅(ge³)空(hung¹)气(héi³)啊(a³)、环(wan⁴)境(ging²)啊(a³)，都(dou¹)比(béi²)广(guong²)州(zeo¹)好(hou²)好(hou²)多(do¹)！<br>The government previously restricted heavy industry, so Zhuhai has much cleaner air and a better environment than Guangzhou.
是啊，听说珠海的天空很蓝！	系(hei⁶)咯(lo¹)，听(téng¹)讲(gong²)珠(jü¹)海(hoi²)个(go³)天(tin¹)好(hou²)蓝(lam⁴)嘎(ga³)！<br>Yes, I have heard that Zhuhai has beautifully blue skies!
而且珠海靠近澳门，很多游客在这里聚集过关，所以旅游业发展得很好。	而(yi⁴)且(cé²)珠(jü¹)海(hoi²)靠(kao³)近(gen⁶)澳(ngou⁶)门(mun²)，好(hou²)多(do¹)游(yeo⁴)客(hag³)喺(hei²)呢(néi¹)度(dou⁶)聚(zêu⁶)集(zab⁶)过(guo³)关(guan¹)，所(so²)以(yi⁵)旅(lêu⁵)游(yeo⁴)业(yib⁶)都(dou¹)发(fad³)展(jin²)得(deg¹)几(géi²)好(hou²)。<br>Zhuhai is also close to Macao, so many travellers pass through here and the tourism industry is quite well developed.
不过我还没去过澳门，不如这次一起去吧！	哦(o¹)，不(bed¹)过(guo³)我(ngo⁵)未(méi⁶)去(hêu³)过(guo³)澳(ngou⁶)门(mun²)，不(bed¹)如(yü⁴)今(gem¹)次(qi³)一(yed¹)齐(cei⁴)去(hêu³)埋(mai⁴)啦(la¹)！<br>I have never been to Macao, so why do we not include it in this trip?
那就要看看你的港澳通行证有没有到期！	咁(gem²)就(zeo⁶)要(yiu³)睇(tei²)吓(ha⁶)你(néi⁵)个(go³)港(gong²)澳(ngou³)通(tung¹)行(heng⁴)证(jing³)到(dou³)期(kéi⁴)未(méi⁶)啦(la³)！<br>Then you had better check whether your travel permit is still valid!
对，竟然忘了先续签再来珠海，真是马大哈！	系(hei⁶)喎(wo³)，竟(ging²)然(yin⁴)唔(m⁴)醒(xing²)起(héi²)去(hêu³)签(qim¹)返(fan¹)个(go³)证(jing³)先(xin¹)嚟(léi⁴)珠(jü¹)海(hoi²)，真(zen¹)系(hei⁶)大(dai⁶)懵(mung²)啦(la³)！<br>You are right. I completely forgot to renew the permit before coming to Zhuhai. That was careless!
不要紧，反正这么近，下次再来也一样！	唔(m⁴)紧(gen²)要(yiu³)啦(la¹)！反(fan²)正(jing³)咁(gem³)近(ken⁵)，下(ha⁶)次(qi³)再(zoi³)嚟(léi⁴)都(dou¹)系(hei⁶)一(yed¹)样(yêng⁶)嘎(ga³)啫(zé²)！<br>Never mind. It is so close that you can always come back next time!
其实我一直觉得珠海应该和深圳差不多！	其(kéi⁴)实(sed⁶)我(ngo⁵)一(yed¹)直(jig⁶)都(dou¹)觉(gog³)得(deg¹)珠(jü¹)海(hoi²)应(ying¹)该(goi¹)同(tung⁴)深(sem¹)圳(zen³)差(ca¹)唔(m⁴)多(do¹)！<br>I have always assumed that Zhuhai would be quite similar to Shenzhen!
一个在珠江口东边，一个在珠江口西边，	一(yed¹)个(go³)喺(hei²)珠(jü¹)江(gong¹)口(heo²)东(dung¹)边(bin¹)，一(yed¹)个(go³)喺(hei²)珠(jü¹)江(gong¹)口(heo²)西(sei¹)边(bin¹)，<br>One lies to the east of the Pearl River Estuary, while the other is to the west,
城市定位和发展策略相差很大！	城(xing⁴)市(xi⁵)定(ding⁶)位(wei²)同(tung⁴)发(fad³)展(jin²)策(cag³)略(lêg⁶)都(dou¹)相(sêng¹)差(ca¹)好(hou²)多(do¹)嘎(ga³)！<br>and their urban roles and development strategies are very different!
阿俊，他说什么？我的英语不太好！	阿(a³)俊(zên³)，佢(kêu⁵)话(wa⁶)咩(mé¹)啊(a³)？我(ngo⁵)英(ying¹)文(men²)唔(m⁴)系(hei⁶)好(hou²)得(deg¹)啊(a³)！<br>Ah Jun, what did he say? My English is not very good!
我也不太行，只听得懂一点点！	我(ngo⁵)都(dou¹)唔(m⁴)系(hei⁶)几(géi²)得(deg¹)嘎(ga³)！听(téng¹)得(deg¹)明(ming⁴)少(xiu²)少(xiu²)咋(za³)！<br>Mine is not great either. I can only understand a little!
他说等会儿出海后，要在规定地点下水！	佢(kêu⁵)话(wa⁶)阵(zen⁶)间(gan¹)我(ngo⁵)哋(déi⁶)出(cêd¹)海(hoi²)之(ji¹)后(heo⁶)，要(yiu³)喺(hei²)规(kuei¹)定(ding⁶)地(déi⁶)点(dim²)落(log⁶)水(sêu²)！<br>He said that once we head out to sea, we must enter the water at the designated spot.
为什么？在哪里下水不都一样吗？	点(dim²)解(gai²)啊(a³)？边(bin¹)度(dou⁶)落(log⁶)水(sêu²)咪(mei⁶)一(yed¹)样(yêng⁶)！<br>Why? Surely it makes no difference where we enter the water!
教练说，正因为水清澈，会让你以为水不深。	教(gao³)练(lin⁶)话(wa⁶)，就(zeo⁶)系(hei⁶)因(yen¹)为(wei⁶)啲(di¹)水(sêu²)清(qing¹)，等(deng²)你(néi⁵)以(yi⁵)为(wei⁴)唔(m⁴)深(sem¹)。<br>The instructor said the water is so clear that it can look much shallower than it really is.
其实有些地方很深，还有暗流！	其(kéi⁴)实(sed⁶)有(yeo⁵)啲(di¹)地(déi⁶)方(fong¹)好(hou²)深(sem¹)，仲(zung⁶)有(yeo⁵)暗(ngem³)流(leo⁴)添(tim¹)！<br>Some areas are actually very deep, and there are underwater currents as well!
原来这么危险？暗流很容易把人卷下水，听说想救也救不了！	哇(wa³)，原(yün⁴)嚟(léi⁴)咁(gem³)危(ngei⁴)险(him²)嘎(ga³)？暗(ngem³)流(leo⁴)好(hou²)容(yung⁴)易(yi⁶)卷(gün²)人(yen⁴)落(log⁶)水(sêu²)，听(téng¹)讲(gong²)话(wa⁶)想(sêng²)救(geo³)都(dou¹)救(geo³)唔(m⁴)到(dou²)嘎(ga³)！<br>I did not realise it was so dangerous. An underwater current can sweep someone away so quickly that a rescue may be impossible!
教练说前面有一片适合浮潜的水域，我们现在可以穿潜水服了！	教(gao³)练(lin⁶)话(wa⁶)前(qin⁴)面(min⁶)就(zeo⁶)有(yeo⁵)一(yed¹)片(pin³)适(xig¹)宜(yi⁴)浮(feo⁴)潜(qim⁴)嘅(ge³)水(sêu²)域(wig⁶)，我(ngo⁵)哋(déi⁶)宜(yi⁴)家(ga¹)可(ho²)以(yi⁵)着(zêg³)潜(qim⁴)水(sêu²)衣(yi¹)啦(la³)！<br>The instructor said there is a suitable snorkelling area ahead, so we can put on our wetsuits now!
听说在菲律宾可以考国际潜水资格证！	喂(wei³)，听(téng¹)讲(gong²)话(wa⁶)菲(féi¹)律(lêd⁶)宾(ben¹)可(ho²)以(yi⁵)考(hao²)国(guog³)际(zei³)潜(qim⁴)水(sêu²)资(ji¹)格(gag³)证(jing³)嘎(ga³)喎(wo³)！<br>Apparently, you can get an internationally recognised diving qualification in the Philippines!
是吗？听说世界上有些危险但风景很美的地方，只对有资格证的游客开放！	系(hei⁶)咩(mé¹)？好(hou²)似(qi⁵)话(wa⁶)世(sei³)界(gai³)上(sêng⁶)有(yeo⁵)啲(di¹)比(béi²)较(gao³)危(ngei⁴)险(him²)但(dan⁶)景(ging²)色(xig¹)好(hou²)靓(léng³)嘅(ge³)地(déi⁶)方(fong¹)，净(jing⁶)系(hei⁶)对(dêu³)有(yeo⁵)资(ji¹)格(gag³)证(jing³)嘅(ge³)游(yeo⁴)客(hag³)开(hoi¹)放(fong³)嘎(ga³)喎(wo³)！<br>Really? I have heard that some spectacular but challenging locations are only open to properly certified divers!
很有吸引力！等会儿我们去咨询一下，看看怎么考这个证吧！	好(hou²)有(yeo⁵)吸(keb¹)引(yen³)力(lig⁶)呢(lé¹)！阵(zen⁶)间(gan¹)我(ngo⁵)哋(déi⁶)去(hêu³)咨(ji¹)询(sên¹)吓(ha⁶)好(hou²)唔(m⁴)好(hou²)啊(a³)？睇(tei²)吓(ha⁶)点(dim²)考(hao²)呢(néi¹)个(go³)证(jing³)吖(a¹)！<br>That sounds really appealing! Shall we ask about it later and find out how to get the qualification?
是不是要今天之内提交？	系(hai⁶)咪(mai⁶)要(jiu³)今(gam¹)日(jat⁶)之(zi¹)内(noi⁶)交(gaau¹)？<br>Do I need to submit it by the end of today?
明天下班前交给我！	听(ting¹)日(jat⁶)落(lok⁶)班(baan¹)前(cin⁴)交(gaau¹)俾(bei²)我(ngo⁵)！<br>Please get it to me before you finish work tomorrow!
你们是怎么做事的？	你(nei⁵)哋(dei⁶)点(dim²)做(zou⁶)嘢(je⁵)嘎(gaa³)？<br>What on earth are you doing?
你以后想做些什么？	你(nei⁵)以(ji⁵)后(hau⁶)想(soeng²)做(zou⁶)啲(di¹)咩(me¹)啊(aa³)？<br>What would you like to do in the future?
你是不是不想干了？	你(nei⁵)系(hai⁶)咪(mai⁶)唔(m⁴)想(soeng²)捞(laau⁴)喇(laa³)？<br>Are you saying you do not want this job any more?
以后？你还敢说以后？	以(ji⁵)后(hau⁶)？你(nei⁵)仲(zung⁶)敢(gam²)有(jau⁵)以(ji⁵)后(hau⁶)？<br>Next time? You think there is going to be a next time?
那现在先回你的座位工作吧！	咁(gam³)宜(ji⁴)家(gaa¹)返(faan²)你(nei⁵)个(go³)位(wai²)做(zou⁶)嘢(je⁵)先(sin¹)啦(laa¹)！<br>Right, go back to your desk and get on with your work.
你知不知道这些对项目来说是大事？	你(nei⁵)知(zi¹)唔(m⁴)知(zi¹)呢(ni¹)啲(di¹)对(deoi³)项(hong⁶)目(muk⁶)嚟(lai⁴)讲(gong²)系(hai⁶)大(daai⁶)事(si⁶)？<br>Do you realise how serious this is for the project?
请大家做好加班的心理准备！	请(cing²)大(daai⁶)家(gaa¹)做(zou⁶)好(hou²)加(gaa¹)班(baan¹)嘅(ge³)心(sam¹)理(lei⁵)准(zeon²)备(bei⁶)！<br>Please be prepared to work overtime.
不要这么说，大家都是为公司工作！	唔(m⁴)好(hou²)咁(gam³)讲(gong²)，大(daai⁶)家(gaa¹)都(dou¹)系(hai⁶)帮(bong¹)公(gung¹)司(si¹)做(zou⁶)嘢(je⁵)！<br>Do not put it that way. We are all working for the company.
你今天需要帮我整理一份这样的政策分析！	嗱(naa⁴)，你(nei⁵)今(gam¹)日(jat⁶)需(seoi¹)要(jiu³)帮(bong¹)我(ngo⁵)整(zing²)理(lei⁵)一(jat¹)份(fan⁶)咁(gam²)样(joeng²)嘅(ge³)政(zing³)策(caak³)分(fan¹)析(sik¹)！<br>Today, I need you to put together a policy analysis like this one.
好的，是不是要今天之内提交？	好(hou²)，系(hai⁶)咪(mai⁶)要(jiu³)今(gam¹)日(jat⁶)之(zi¹)内(noi⁶)交(gaau¹)？<br>All right. Do I need to submit it today?
要看你做得多深入。你可以今天收集完资料，明天下班前整理好再交给我！	睇(tai²)你(nei⁵)做(zou⁶)得(dak¹)几(gei¹)深(sam¹)入(jap⁶)啦(laa¹)。你(nei⁵)可(ho²)以(ji⁵)今(gam¹)日(jat⁶)收(sau¹)集(zaap⁶)完(jyun⁴)资(zi¹)料(liu²)，听(ting¹)日(jat⁶)落(lok⁶)班(baan¹)前(cin⁴)执(zap¹)到(dou²)靓(leng³)靓(leng³)仔(zai²)再(zoi³)交(gaau¹)俾(bei²)我(ngo⁵)！<br>It depends on how much depth you go into. Gather the information today, polish it properly, and send it to me before you leave tomorrow.
陈经理，我还想问一下，这些政策是不是在网上找就可以了？	陈(can⁴)经(ging¹)理(lei⁵)，我(ngo⁵)仲(zung⁶)想(soeng²)问(man⁶)吓(haa²)，呢(ni¹)啲(di¹)政(zing³)策(caak³)系(hai⁶)咪(mai⁶)喺(hai²)网(mong⁵)上(soeng⁶)搵(wan²)就(zau⁶)得(dak¹)嘎(gaa³)喇(laa³)？<br>Mr Chan, may I ask one more thing? Is it enough to find these policies online?
是，不过有一点要注意，你要找的是政策原文，不是记者的社评或专家解读。	系(hai⁶)，不(bat¹)过(gwo³)有(jau⁵)样(joeng⁴)嘢(je⁵)需(seoi¹)要(jiu³)注(zyu³)意(ji³)，你(nei⁵)要(jiu³)搵(wan²)嘅(ge³)系(hai⁶)政(zing³)策(caak³)嘅(ge³)原(jyun⁴)文(man⁴)，唔(m⁴)系(hai⁶)记(gei³)者(ze²)写(se²)嘅(ge³)社(se⁵)评(ping⁴)或(waak⁶)者(ze²)专(zyun¹)家(gaa¹)做(zou⁶)嘅(ge³)解(gaai²)读(duk⁶)。<br>Yes, but bear one thing in mind: you need the original policy documents, not newspaper commentaries or expert interpretations.
好的，谢谢陈经理提醒！	好(hou²)嘅(ge³)，多(do¹)谢(ze⁶)陈(can⁴)经(ging¹)理(lei⁵)提(tai⁴)醒(seng²)！<br>Understood. Thanks for the reminder, Mr Chan!
那现在先回你的座位工作吧！	咁(gam³)宜(ji⁴)家(gaa¹)返(faan²)你(nei⁵)个(go³)位(wai²)做(zou⁶)嘢(je⁵)先(sin¹)啦(laa¹)！<br>All right, go back to your desk and get started.
为什么到现在我还没看到那份项目策划书？	点(dim²)解(gaai²)份(fan⁶)项(hong⁶)目(muk⁶)策(caak³)划(waa¹)书(syu¹)我(ngo⁵)到(dou³)宜(ji⁴)家(gaa¹)都(dou¹)仲(zung⁶)未(mei⁶)睇(tai²)到(dou³)？<br>Why have I still not seen the project proposal?
肖总，因为对方的项目负责人有变动，所以项目工作有一点延迟！	肖(ciu³)总(zung²)，因(jan¹)为(wai⁴)对(deoi³)方(fong¹)单(daan¹)位(wai²)嘅(ge³)项(hong⁶)目(muk⁶)负(fu⁶)责(zaak³)人(jan⁴)有(jau⁵)变(bin³)动(dung⁶)，所(so²)以(ji⁵)项(hong⁶)目(muk⁶)工(gung¹)作(zok³)有(jau⁵)少(siu²)少(siu²)延(jin⁴)迟(ci⁴)啊(aa³)！<br>Mr Siu, the client changed the person in charge, so the project has been slightly delayed.
为什么我不知道这件事？你们是怎么做事的？	点(dim²)解(gaai²)我(ngo⁵)唔(m⁴)知(zi¹)道(dou³)呢(ni¹)件(gin⁶)事(si⁶)？你(nei⁵)哋(dei⁶)点(dim²)做(zou⁶)嘢(je⁵)嘎(gaa³)？<br>Why was I not told about this? What have you all been doing?
因为我觉得他们的工作交接不会太久，应该不会严重影响项目进度……	因(jan¹)为(wai⁴)我(ngo⁵)觉(gok³)得(dak¹)佢(keoi⁵)哋(dei⁶)工(gung¹)作(zok³)交(gaau¹)接(zip³)应(jing³)该(goi¹)唔(m⁴)会(wui⁶)好(hou²)耐(noi⁶)，应(jing¹)该(goi¹)唔(m⁴)会(wui⁶)太(taai³)过(gwo³)影(jing²)响(hoeng²)项(hong⁶)目(muk⁶)进(zeon³)度(dou⁶)……<br>I thought their handover would not take long and would not have much impact on the project schedule...
你觉得？你凭什么这样认为？你知不知道这对项目来说是大事？	你(nei⁵)觉(gok³)得(dak¹)？你(nei⁵)凭(pang⁴)咩(me¹)觉(gok³)得(dak¹)啊(aa³)？你(nei⁵)知(zi¹)唔(m⁴)知(zi¹)呢(ni¹)啲(di¹)对(deoi³)项(hong⁶)目(muk⁶)嚟(lai⁴)讲(gong²)系(hai⁶)大(daai⁶)事(si⁶)？<br>You thought? What did you base that on? Do you realise how serious this is for the project?
我明白了，肖总，以后有这样的事会第一时间汇报。	我(ngo⁵)明(ming⁴)白(baak⁶)喇(laa³)，肖(ciu³)总(zung²)，以(ji⁵)后(hau⁶)有(jau⁵)咁(gam³)嘅(ge³)事(si⁶)会(wui⁶)第(dai⁶)一(jat¹)时(si⁴)间(gaan³)汇(wui⁶)报(bou³)。<br>I understand, Mr Siu. If anything like this happens again, I will report it immediately.
以后？你还敢说以后？你是不是不想干了？	以(ji⁵)后(hau⁶)？你(nei⁵)仲(zung⁶)敢(gam²)有(jau⁵)以(ji⁵)后(hau⁶)？你(nei⁵)系(hai⁶)咪(mai⁶)唔(m⁴)想(soeng²)捞(laau⁴)喇(laa³)？<br>Again? You think there will be another chance? Do you want to keep this job or not?
一定不会有下次。我马上回去做一份评估报告。	一(jat¹)定(ding⁶)唔(m⁴)会(wui⁶)有(jau⁵)下(haa⁶)次(ci³)。我(ngo⁵)即(zik¹)刻(hak¹)返(faan¹)去(heoi³)做(zou⁶)一(jat¹)份(fan⁶)评(ping⁴)估(gu²)报(bou³)告(gou³)。<br>It definitely will not happen again. I will prepare an assessment report straight away.
大家都知道我们公司准备上市，所以现在正式在公司内部组建筹备组。	大(daai⁶)家(gaa¹)都(dou¹)知(zi¹)道(dou³)我(ngo⁵)哋(dei⁶)公(gung¹)司(si¹)准(zeon²)备(bei⁶)上(soeng⁵)市(si⁵)，所(so²)以(ji⁵)宜(ji⁴)家(gaa¹)正(zing³)式(sik¹)喺(hai²)公(gung¹)司(si¹)内(noi⁶)部(bou⁶)组(zou²)建(gin³)呢(ni¹)个(go³)筹(cau⁴)备(bei⁶)组(zou²)。<br>As everyone knows, the company is preparing to go public, so we are now formally setting up an internal preparation team.
是的，我们此前已经调查了各部门人员以及他们的任职时间和工作经验，	系(hai⁶)嘅(ge³)，我(ngo⁵)哋(dei⁶)之(zi¹)前(cin⁴)已(ji⁵)经(ging¹)调(diu⁶)查(caa⁴)过(gwo³)公(gung¹)司(si¹)各(gok³)部(bou⁶)门(mun⁴)人(jan⁴)员(jyun⁴)，以(ji⁵)及(kap⁶)佢(keoi⁵)哋(dei⁶)喺(hai²)公(gung¹)司(si¹)嘅(ge³)工(gung¹)作(zok³)时(si⁴)间(gaan³)同(tung⁴)工(gung¹)作(zok³)经(ging¹)验(jim⁶)，<br>Yes. We have already reviewed the staff in every department, including their length of service and professional experience,
决定抽调在座的各位加入这个组，希望各业务线齐心协力，一起攻关！	决(kyut³)定(ding⁶)抽(cau¹)调(diu⁶)在(zoi⁶)座(zo⁶)嘅(ge³)各(gok³)位(wai²)入(jap⁶)嚟(lai⁴)我(ngo⁵)哋(dei⁶)呢(ni¹)个(go³)组(zou²)，希(hei¹)望(mong⁶)各(gok³)业(jip⁶)务(mou⁶)管(gun²)线(sin³)齐(cai⁴)心(sam¹)合(hap⁶)力(lik⁶)，一(jat¹)齐(cai⁴)攻(gung¹)关(gwaan¹)！<br>and we have decided to bring everyone here into the team. I hope all business units will work together to tackle the challenges ahead!
人事方面，肖总已经打过招呼，请大家回去尽快交接手头工作！	人(jan⁴)事(si⁶)方(fong¹)面(min⁶)，肖(ciu³)总(zung²)已(ji⁵)经(ging¹)打(daa²)过(gwo³)招(ziu¹)呼(fu¹)，请(cing²)大(daai⁶)家(gaa¹)返(faan¹)去(heoi³)尽(zeon⁶)快(faai³)交(gaau¹)接(zip³)好(hou²)手(sau²)头(tau⁴)嘅(ge³)工(gung¹)作(zok³)！<br>Mr Siu has already spoken to HR. Please return to your teams and complete your handovers as soon as possible.
