#separator:tab
#html:true
#notetype:Basic
#deck:粤语学习
#columns:Front	Back	Tags
恩	<b>粤拼：</b>jan1<br><b>组词：</b><br><ruby>感<rt>gam2</rt></ruby><ruby>恩<rt>jan1</rt></ruby> <span style="color:#666">（感恩）</span><br><ruby>恩<rt>jan1</rt></ruby><ruby>人<rt>jan4</rt></ruby> <span style="color:#666">（恩人）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
云	<b>粤拼：</b>wan4<br><b>组词：</b><br><ruby>白<rt>baak6</rt></ruby><ruby>云<rt>wan4</rt></ruby> <span style="color:#666">（白雲）</span><br><ruby>云<rt>wan4</rt></ruby><ruby>端<rt>dyun1</rt></ruby> <span style="color:#666">（雲端）</span><br><ruby>云<rt>wan4</rt></ruby><ruby>飞<rt>fei1</rt></ruby> <span style="color:#666">（雲飛）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字 粤语::分类::F._常见姓氏、人名与书面字易误读
运	<b>粤拼：</b>wan6<br><b>组词：</b><br><ruby>运<rt>wan6</rt></ruby><ruby>动<rt>dung6</rt></ruby> <span style="color:#666">（運動）</span><br><ruby>运<rt>wan6</rt></ruby><ruby>输<rt>syu1</rt></ruby> <span style="color:#666">（運輸）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
黄	<b>粤拼：</b>wong4<br><b>组词：</b><br><ruby>黄<rt>wong4</rt></ruby><ruby>色<rt>sik1</rt></ruby> <span style="color:#666">（黃色）</span><br><ruby>黄<rt>wong4</rt></ruby><ruby>河<rt>ho4</rt></ruby> <span style="color:#666">（黃河）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
王	<b>粤拼：</b>wong4<br><b>组词：</b><br><ruby>王<rt>wong4</rt></ruby><ruby>子<rt>zi2</rt></ruby> <span style="color:#666">（王子）</span><br><ruby>姓<rt>sing3</rt></ruby><ruby>王<rt>wong4</rt></ruby> <span style="color:#666">（姓王）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
一	<b>粤拼：</b>jat1<br><b>组词：</b><br><ruby>一<rt>jat1</rt></ruby><ruby>个<rt>go3</rt></ruby> <span style="color:#666">（一個）</span><br><ruby>第<rt>dai6</rt></ruby><ruby>一<rt>jat1</rt></ruby> <span style="color:#666">（第一）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
七	<b>粤拼：</b>cat1<br><b>组词：</b><br><ruby>七<rt>cat1</rt></ruby><ruby>月<rt>jyut6</rt></ruby> <span style="color:#666">（七月）</span><br><ruby>七<rt>cat1</rt></ruby><ruby>个<rt>go3</rt></ruby> <span style="color:#666">（七個）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
八	<b>粤拼：</b>baat3<br><b>组词：</b><br><ruby>八<rt>baat3</rt></ruby><ruby>月<rt>jyut6</rt></ruby> <span style="color:#666">（八月）</span><br><ruby>八<rt>baat3</rt></ruby><ruby>点<rt>dim2</rt></ruby> <span style="color:#666">（八點）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
十	<b>粤拼：</b>sap6<br><b>组词：</b><br><ruby>十<rt>sap6</rt></ruby><ruby>分<rt>fan1</rt></ruby> <span style="color:#666">（十分）</span><br><ruby>十<rt>sap6</rt></ruby><ruby>个<rt>go3</rt></ruby> <span style="color:#666">（十個）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
百	<b>粤拼：</b>baak3<br><b>组词：</b><br><ruby>一<rt>jat1</rt></ruby><ruby>百<rt>baak3</rt></ruby> <span style="color:#666">（一百）</span><br><ruby>百<rt>baak3</rt></ruby><ruby>分<rt>fan1</rt></ruby><ruby>比<rt>bei2</rt></ruby> <span style="color:#666">（百分比）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
六	<b>粤拼：</b>luk6<br><b>组词：</b><br><ruby>六<rt>luk6</rt></ruby><ruby>月<rt>jyut6</rt></ruby> <span style="color:#666">（六月）</span><br><ruby>六<rt>luk6</rt></ruby><ruby>点<rt>dim2</rt></ruby> <span style="color:#666">（六點）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
月	<b>粤拼：</b>jyut6<br><b>组词：</b><br><ruby>月<rt>jyut6</rt></ruby><ruby>亮<rt>loeng6</rt></ruby> <span style="color:#666">（月亮）</span><br><ruby>下<rt>haa6</rt></ruby><ruby>个<rt>go3</rt></ruby><ruby>月<rt>jyut6</rt></ruby> <span style="color:#666">（下個月）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
学	<b>粤拼：</b>hok6<br><b>组词：</b><br><ruby>学<rt>hok6</rt></ruby><ruby>习<rt>zaap6</rt></ruby> <span style="color:#666">（學習）</span><br><ruby>学<rt>hok6</rt></ruby><ruby>校<rt>haau6</rt></ruby> <span style="color:#666">（學校）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
国	<b>粤拼：</b>gwok3<br><b>组词：</b><br><ruby>国<rt>gwok3</rt></ruby><ruby>家<rt>gaa1</rt></ruby> <span style="color:#666">（國家）</span><br><ruby>中<rt>zung1</rt></ruby><ruby>国<rt>gwok3</rt></ruby> <span style="color:#666">（中國）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
食	<b>粤拼：</b>sik6<br><b>组词：</b><br><ruby>食<rt>sik6</rt></ruby><ruby>饭<rt>faan6</rt></ruby> <span style="color:#666">（吃飯）</span><br><ruby>食<rt>sik6</rt></ruby><ruby>物<rt>mat6</rt></ruby> <span style="color:#666">（食物）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
识	<b>粤拼：</b>sik1<br><b>组词：</b><br><ruby>认<rt>jing6</rt></ruby><ruby>识<rt>sik1</rt></ruby> <span style="color:#666">（認識）</span><br><ruby>识<rt>sik1</rt></ruby><ruby>讲<rt>gong2</rt></ruby> <span style="color:#666">（會說）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
色	<b>粤拼：</b>sik1<br><b>组词：</b><br><ruby>颜<rt>ngaan4</rt></ruby><ruby>色<rt>sik1</rt></ruby> <span style="color:#666">（顏色）</span><br><ruby>红<rt>hung4</rt></ruby><ruby>色<rt>sik1</rt></ruby> <span style="color:#666">（紅色）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
力	<b>粤拼：</b>lik6<br><b>组词：</b><br><ruby>能<rt>nang4</rt></ruby><ruby>力<rt>lik6</rt></ruby> <span style="color:#666">（能力）</span><br><ruby>努<rt>nou5</rt></ruby><ruby>力<rt>lik6</rt></ruby> <span style="color:#666">（努力）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
立	<b>粤拼：</b>lap6<br><b>组词：</b><br><ruby>立<rt>lap6</rt></ruby><ruby>即<rt>zik1</rt></ruby> <span style="color:#666">（立即）</span><br><ruby>成<rt>sing4</rt></ruby><ruby>立<rt>lap6</rt></ruby> <span style="color:#666">（成立）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
合	<b>粤拼：</b>hap6<br><b>组词：</b><br><ruby>合<rt>hap6</rt></ruby><ruby>作<rt>zok3</rt></ruby> <span style="color:#666">（合作）</span><br><ruby>适<rt>sik1</rt></ruby><ruby>合<rt>hap6</rt></ruby> <span style="color:#666">（適合）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
答	<b>粤拼：</b>daap3<br><b>组词：</b><br><ruby>回<rt>wui4</rt></ruby><ruby>答<rt>daap3</rt></ruby> <span style="color:#666">（回答）</span><br><ruby>答<rt>daap3</rt></ruby><ruby>案<rt>on3</rt></ruby> <span style="color:#666">（答案）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
发	<b>粤拼：</b>faat3<br><b>组词：</b><br><ruby>发<rt>faat3</rt></ruby><ruby>现<rt>jin6</rt></ruby> <span style="color:#666">（發現）</span><br><ruby>发<rt>faat3</rt></ruby><ruby>展<rt>zin2</rt></ruby> <span style="color:#666">（發展）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
法	<b>粤拼：</b>faat3<br><b>组词：</b><br><ruby>方<rt>fong1</rt></ruby><ruby>法<rt>faat3</rt></ruby> <span style="color:#666">（方法）</span><br><ruby>法<rt>faat3</rt></ruby><ruby>律<rt>leot6</rt></ruby> <span style="color:#666">（法律）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
客	<b>粤拼：</b>haak3<br><b>组词：</b><br><ruby>客<rt>haak3</rt></ruby><ruby>人<rt>jan4</rt></ruby> <span style="color:#666">（客人）</span><br><ruby>顾<rt>gu3</rt></ruby><ruby>客<rt>haak3</rt></ruby> <span style="color:#666">（顧客）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
吃	<b>粤拼：</b>hek3<br><b>组词：</b><br><ruby>吃<rt>hek3</rt></ruby><ruby>饭<rt>faan6</rt></ruby> <span style="color:#666">（吃飯；粵語常說食飯）</span><br><ruby>好<rt>hou2</rt></ruby><ruby>吃<rt>hek3</rt></ruby> <span style="color:#666">（好吃；口語常說好食）</span>	粤语::文字 粤语::分类::E._入声字：保留_-p、-t、-k_韵尾
徐	<b>粤拼：</b>ceoi4<br><b>组词：</b><br><ruby>徐<rt>ceoi4</rt></ruby><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（徐先生）</span><br><ruby>徐<rt>ceoi4</rt></ruby><ruby>徐<rt>ceoi4</rt></ruby> <span style="color:#666">（慢慢地）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
康	<b>粤拼：</b>hong1<br><b>组词：</b><br><ruby>健<rt>gin6</rt></ruby><ruby>康<rt>hong1</rt></ruby> <span style="color:#666">（健康）</span><br><ruby>康<rt>hong1</rt></ruby><ruby>复<rt>fuk6</rt></ruby> <span style="color:#666">（康復）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
陈	<b>粤拼：</b>can4<br><b>组词：</b><br><ruby>陈<rt>can4</rt></ruby><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（陳先生）</span><br><ruby>陈<rt>can4</rt></ruby><ruby>列<rt>lit6</rt></ruby> <span style="color:#666">（陳列）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
林	<b>粤拼：</b>lam4<br><b>组词：</b><br><ruby>林<rt>lam4</rt></ruby><ruby>小<rt>siu2</rt></ruby><ruby>姐<rt>ze2</rt></ruby> <span style="color:#666">（林小姐）</span><br><ruby>森<rt>sam1</rt></ruby><ruby>林<rt>lam4</rt></ruby> <span style="color:#666">（森林）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
梁	<b>粤拼：</b>loeng4<br><b>组词：</b><br><ruby>姓<rt>sing3</rt></ruby><ruby>梁<rt>loeng4</rt></ruby> <span style="color:#666">（姓梁）</span><br><ruby>桥<rt>kiu4</rt></ruby><ruby>梁<rt>loeng4</rt></ruby> <span style="color:#666">（橋樑）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
何	<b>粤拼：</b>ho4<br><b>组词：</b><br><ruby>何<rt>ho4</rt></ruby><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（何先生）</span><br><ruby>如<rt>jyu4</rt></ruby><ruby>何<rt>ho4</rt></ruby> <span style="color:#666">（如何）</span><br><ruby>为<rt>wai6</rt></ruby><ruby>何<rt>ho4</rt></ruby> <span style="color:#666">（為何）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读 粤语::分类::I._粤语歌高频抒情字与书面歌词字
许	<b>粤拼：</b>heoi2<br><b>组词：</b><br><ruby>许<rt>heoi2</rt></ruby><ruby>小<rt>siu2</rt></ruby><ruby>姐<rt>ze2</rt></ruby> <span style="color:#666">（許小姐）</span><br><ruby>允<rt>wan5</rt></ruby><ruby>许<rt>heoi2</rt></ruby> <span style="color:#666">（允許）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
郭	<b>粤拼：</b>gwok3<br><b>组词：</b><br><ruby>姓<rt>sing3</rt></ruby><ruby>郭<rt>gwok3</rt></ruby> <span style="color:#666">（姓郭）</span><br><ruby>城<rt>sing4</rt></ruby><ruby>郭<rt>gwok3</rt></ruby> <span style="color:#666">（城郭）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
曾	<b>粤拼：</b>zang1 / cang4<br><b>组词：</b><br><ruby>曾<rt>zang1</rt></ruby><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（曾先生）</span><br><ruby>曾<rt>cang4</rt></ruby><ruby>经<rt>ging1</rt></ruby> <span style="color:#666">（曾經；用作副詞讀 cang4）</span><br><ruby>曾<rt>cang4</rt></ruby><ruby>经<rt>ging1</rt></ruby> <span style="color:#666">（曾經）</span><br><ruby>未<rt>mei6</rt></ruby><ruby>曾<rt>cang4</rt></ruby> <span style="color:#666">（未曾）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读 粤语::分类::I._粤语歌高频抒情字与书面歌词字
叶	<b>粤拼：</b>jip6<br><b>组词：</b><br><ruby>叶<rt>jip6</rt></ruby><ruby>小<rt>siu2</rt></ruby><ruby>姐<rt>ze2</rt></ruby> <span style="color:#666">（葉小姐）</span><br><ruby>树<rt>syu6</rt></ruby><ruby>叶<rt>jip6</rt></ruby> <span style="color:#666">（樹葉）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
郑	<b>粤拼：</b>zeng6<br><b>组词：</b><br><ruby>郑<rt>zeng6</rt></ruby><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（鄭先生）</span><br><ruby>郑<rt>zing6</rt></ruby><ruby>重<rt>zung6</rt></ruby> <span style="color:#666">（鄭重；書面詞常讀 zing6）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
谢	<b>粤拼：</b>ze6<br><b>组词：</b><br><ruby>多<rt>do1</rt></ruby><ruby>谢<rt>ze6</rt></ruby> <span style="color:#666">（謝謝）</span><br><ruby>谢<rt>ze6</rt></ruby><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（謝先生）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
蔡	<b>粤拼：</b>coi3<br><b>组词：</b><br><ruby>蔡<rt>coi3</rt></ruby><ruby>小<rt>siu2</rt></ruby><ruby>姐<rt>ze2</rt></ruby> <span style="color:#666">（蔡小姐）</span><br><ruby>姓<rt>sing3</rt></ruby><ruby>蔡<rt>coi3</rt></ruby> <span style="color:#666">（姓蔡）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
潘	<b>粤拼：</b>pun1<br><b>组词：</b><br><ruby>潘<rt>pun1</rt></ruby><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（潘先生）</span><br><ruby>姓<rt>sing3</rt></ruby><ruby>潘<rt>pun1</rt></ruby> <span style="color:#666">（姓潘）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
邓	<b>粤拼：</b>dang6<br><b>组词：</b><br><ruby>邓<rt>dang6</rt></ruby><ruby>小<rt>siu2</rt></ruby><ruby>姐<rt>ze2</rt></ruby> <span style="color:#666">（鄧小姐）</span><br><ruby>姓<rt>sing3</rt></ruby><ruby>邓<rt>dang6</rt></ruby> <span style="color:#666">（姓鄧）</span>	粤语::文字 粤语::分类::F._常见姓氏、人名与书面字易误读
行	<b>粤拼：</b>hang4 / haang4 / hong4<br><b>组词：</b><br><ruby>行<rt>hang4</rt></ruby><ruby>走<rt>zau2</rt></ruby> <span style="color:#666">（行走）</span><br><ruby>行<rt>haang4</rt></ruby><ruby>街<rt>gaai1</rt></ruby> <span style="color:#666">（逛街）</span><br><ruby>银<rt>ngan4</rt></ruby><ruby>行<rt>hong4</rt></ruby> <span style="color:#666">（銀行）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
觉	<b>粤拼：</b>gok3 / gaau3<br><b>组词：</b><br><ruby>觉<rt>gok3</rt></ruby><ruby>得<rt>dak1</rt></ruby> <span style="color:#666">（覺得）</span><br><ruby>睡<rt>seoi6</rt></ruby><ruby>觉<rt>gaau3</rt></ruby> <span style="color:#666">（睡覺）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
乐	<b>粤拼：</b>lok6 / ngok6<br><b>组词：</b><br><ruby>快<rt>faai3</rt></ruby><ruby>乐<rt>lok6</rt></ruby> <span style="color:#666">（快樂）</span><br><ruby>音<rt>jam1</rt></ruby><ruby>乐<rt>ngok6</rt></ruby> <span style="color:#666">（音樂）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
便	<b>粤拼：</b>bin6 / pin4<br><b>组词：</b><br><ruby>方<rt>fong1</rt></ruby><ruby>便<rt>bin6</rt></ruby> <span style="color:#666">（方便）</span><br><ruby>便<rt>pin4</rt></ruby><ruby>宜<rt>ji4</rt></ruby> <span style="color:#666">（便宜）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
当	<b>粤拼：</b>dong1 / dong3<br><b>组词：</b><br><ruby>当<rt>dong1</rt></ruby><ruby>然<rt>jin4</rt></ruby> <span style="color:#666">（當然）</span><br><ruby>上<rt>soeng5</rt></ruby><ruby>当<rt>dong3</rt></ruby> <span style="color:#666">（上當）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
数	<b>粤拼：</b>sou3 / syu3<br><b>组词：</b><br><ruby>数<rt>sou3</rt></ruby><ruby>学<rt>hok6</rt></ruby> <span style="color:#666">（數學）</span><br><ruby>数<rt>syu3</rt></ruby><ruby>一<rt>jat1</rt></ruby><ruby>数<rt>syu3</rt></ruby> <span style="color:#666">（數一數）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
会	<b>粤拼：</b>wui5 / wui6<br><b>组词：</b><br><ruby>我<rt>ngo5</rt></ruby><ruby>会<rt>wui5</rt></ruby><ruby>讲<rt>gong2</rt></ruby> <span style="color:#666">（我會說）</span><br><ruby>会<rt>wui6</rt></ruby><ruby>议<rt>ji5</rt></ruby> <span style="color:#666">（會議）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
为	<b>粤拼：</b>wai4 / wai6 / wai6 / wai4<br><b>组词：</b><br><ruby>认<rt>jing6</rt></ruby><ruby>为<rt>wai4</rt></ruby> <span style="color:#666">（認為）</span><br><ruby>因<rt>jan1</rt></ruby><ruby>为<rt>wai6</rt></ruby> <span style="color:#666">（因為）</span><br><ruby>为<rt>wai6</rt></ruby><ruby>何<rt>ho4</rt></ruby> <span style="color:#666">（為何）</span><br><ruby>成<rt>sing4</rt></ruby><ruby>为<rt>wai4</rt></ruby> <span style="color:#666">（成為）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断 粤语::分类::I._粤语歌高频抒情字与书面歌词字
好	<b>粤拼：</b>hou2 / hou3<br><b>组词：</b><br><ruby>很<rt>han2</rt></ruby><ruby>好<rt>hou2</rt></ruby> <span style="color:#666">（很好）</span><br><ruby>爱<rt>oi3</rt></ruby><ruby>好<rt>hou3</rt></ruby> <span style="color:#666">（愛好）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
教	<b>粤拼：</b>gaau1 / gaau3<br><b>组词：</b><br><ruby>教<rt>gaau1</rt></ruby><ruby>书<rt>syu1</rt></ruby> <span style="color:#666">（教書）</span><br><ruby>教<rt>gaau3</rt></ruby><ruby>育<rt>juk6</rt></ruby> <span style="color:#666">（教育）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
话	<b>粤拼：</b>waa6 / waa2<br><b>组词：</b><br><ruby>说<rt>syut3</rt></ruby><ruby>话<rt>waa6</rt></ruby> <span style="color:#666">（說話）</span><br><ruby>广<rt>gwong2</rt></ruby><ruby>东<rt>dung1</rt></ruby><ruby>话<rt>waa2</rt></ruby> <span style="color:#666">（廣東話）</span>	粤语::文字 粤语::分类::G._一字多音：必须按词语判断
佢	<b>粤拼：</b>keoi5<br><b>组词：</b><br><ruby>佢<rt>keoi5</rt></ruby><ruby>哋<rt>dei6</rt></ruby> <span style="color:#666">（他們）</span><br><ruby>佢<rt>keoi5</rt></ruby><ruby>嘅<rt>ge3</rt></ruby> <span style="color:#666">（他的／她的）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
哋	<b>粤拼：</b>dei6<br><b>组词：</b><br><ruby>我<rt>ngo5</rt></ruby><ruby>哋<rt>dei6</rt></ruby> <span style="color:#666">（我們）</span><br><ruby>你<rt>nei5</rt></ruby><ruby>哋<rt>dei6</rt></ruby> <span style="color:#666">（你們）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
唔	<b>粤拼：</b>m4<br><b>组词：</b><br><ruby>唔<rt>m4</rt></ruby><ruby>係<rt>hai6</rt></ruby> <span style="color:#666">（不是）</span><br><ruby>唔<rt>m4</rt></ruby><ruby>该<rt>goi1</rt></ruby> <span style="color:#666">（勞駕／謝謝服務）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
冇	<b>粤拼：</b>mou5<br><b>组词：</b><br><ruby>冇<rt>mou5</rt></ruby><ruby>钱<rt>cin2</rt></ruby> <span style="color:#666">（沒錢）</span><br><ruby>冇<rt>mou5</rt></ruby><ruby>问<rt>man6</rt></ruby><ruby>题<rt>tai4</rt></ruby> <span style="color:#666">（沒問題）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
系	<b>粤拼：</b>hai6<br><b>组词：</b><br><ruby>系<rt>hai6</rt></ruby><ruby>咪<rt>mai6</rt></ruby> <span style="color:#666">（是不是）</span><br><ruby>我<rt>ngo5</rt></ruby><ruby>系<rt>hai6</rt></ruby> <span style="color:#666">（我是）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
喺	<b>粤拼：</b>hai2<br><b>组词：</b><br><ruby>喺<rt>hai2</rt></ruby><ruby>度<rt>dou6</rt></ruby> <span style="color:#666">（在這裡／正在）</span><br><ruby>喺<rt>hai2</rt></ruby><ruby>边<rt>bin1</rt></ruby> <span style="color:#666">（在哪裡）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
嘅	<b>粤拼：</b>ge3<br><b>组词：</b><br><ruby>我<rt>ngo5</rt></ruby><ruby>嘅<rt>ge3</rt></ruby> <span style="color:#666">（我的）</span><br><ruby>真<rt>zan1</rt></ruby><ruby>嘅<rt>ge3</rt></ruby> <span style="color:#666">（真的）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
咗	<b>粤拼：</b>zo2<br><b>组词：</b><br><ruby>食<rt>sik6</rt></ruby><ruby>咗<rt>zo2</rt></ruby> <span style="color:#666">（吃了）</span><br><ruby>走<rt>zau2</rt></ruby><ruby>咗<rt>zo2</rt></ruby> <span style="color:#666">（走了）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
紧	<b>粤拼：</b>gan2<br><b>组词：</b><br><ruby>做<rt>zou6</rt></ruby><ruby>紧<rt>gan2</rt></ruby> <span style="color:#666">（正在做）</span><br><ruby>睇<rt>tai2</rt></ruby><ruby>紧<rt>gan2</rt></ruby> <span style="color:#666">（正在看）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
啱	<b>粤拼：</b>ngaam1<br><b>组词：</b><br><ruby>啱<rt>ngaam1</rt></ruby><ruby>啱<rt>ngaam1</rt></ruby> <span style="color:#666">（剛剛）</span><br><ruby>啱<rt>ngaam1</rt></ruby><ruby>用<rt>jung6</rt></ruby> <span style="color:#666">（合用）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
嗰	<b>粤拼：</b>go2<br><b>组词：</b><br><ruby>嗰<rt>go2</rt></ruby><ruby>个<rt>go3</rt></ruby> <span style="color:#666">（那個）</span><br><ruby>嗰<rt>go2</rt></ruby><ruby>度<rt>dou6</rt></ruby> <span style="color:#666">（那裡）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
呢	<b>粤拼：</b>ni1<br><b>组词：</b><br><ruby>呢<rt>ni1</rt></ruby><ruby>个<rt>go3</rt></ruby> <span style="color:#666">（這個）</span><br><ruby>呢<rt>ni1</rt></ruby><ruby>度<rt>dou6</rt></ruby> <span style="color:#666">（這裡）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
边	<b>粤拼：</b>bin1<br><b>组词：</b><br><ruby>边<rt>bin1</rt></ruby><ruby>个<rt>go3</rt></ruby> <span style="color:#666">（誰）</span><br><ruby>边<rt>bin1</rt></ruby><ruby>度<rt>dou6</rt></ruby> <span style="color:#666">（哪裡）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
点	<b>粤拼：</b>dim2<br><b>组词：</b><br><ruby>点<rt>dim2</rt></ruby><ruby>解<rt>gaai2</rt></ruby> <span style="color:#666">（為什麼）</span><br><ruby>点<rt>dim2</rt></ruby><ruby>算<rt>syun3</rt></ruby> <span style="color:#666">（怎麼辦）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
咩	<b>粤拼：</b>me1<br><b>组词：</b><br><ruby>做<rt>zou6</rt></ruby><ruby>咩<rt>me1</rt></ruby> <span style="color:#666">（做什麼）</span><br><ruby>咩<rt>me1</rt></ruby><ruby>事<rt>si6</rt></ruby> <span style="color:#666">（什麼事）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
嘢	<b>粤拼：</b>je5<br><b>组词：</b><br><ruby>食<rt>sik6</rt></ruby><ruby>嘢<rt>je5</rt></ruby> <span style="color:#666">（吃東西）</span><br><ruby>好<rt>hou2</rt></ruby><ruby>嘢<rt>je5</rt></ruby> <span style="color:#666">（太好了）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
睇	<b>粤拼：</b>tai2<br><b>组词：</b><br><ruby>睇<rt>tai2</rt></ruby><ruby>书<rt>syu1</rt></ruby> <span style="color:#666">（看書）</span><br><ruby>好<rt>hou2</rt></ruby><ruby>睇<rt>tai2</rt></ruby> <span style="color:#666">（好看）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
瞓	<b>粤拼：</b>fan3<br><b>组词：</b><br><ruby>瞓<rt>fan3</rt></ruby><ruby>觉<rt>gaau3</rt></ruby> <span style="color:#666">（睡覺）</span><br><ruby>瞓<rt>fan3</rt></ruby><ruby>醒<rt>sing2</rt></ruby> <span style="color:#666">（睡醒）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
返	<b>粤拼：</b>faan1<br><b>组词：</b><br><ruby>返<rt>faan1</rt></ruby><ruby>工<rt>gung1</rt></ruby> <span style="color:#666">（上班）</span><br><ruby>返<rt>faan1</rt></ruby><ruby>屋<rt>uk1</rt></ruby><ruby>企<rt>kei2</rt></ruby> <span style="color:#666">（回家）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
攞	<b>粤拼：</b>lo2<br><b>组词：</b><br><ruby>攞<rt>lo2</rt></ruby><ruby>钱<rt>cin2</rt></ruby> <span style="color:#666">（拿錢）</span><br><ruby>攞<rt>lo2</rt></ruby><ruby>走<rt>zau2</rt></ruby> <span style="color:#666">（拿走）</span>	粤语::文字 粤语::分类::H._粤语高频口语专用字与语气词
